#count	mode	opcode	ext	mnemonic	rm
18326	16	08	-	?	m
18321	32	FF	/4	?	r
18191	16	D3	/4	?	r
18058	32	BD	-	?	r
17043	32	81	/0	?	m
16885	16	D1	/7	?	r
16575	32	0F BC	-	?	r
16373	32	0F 01	/0	?	m
15327	16	D0	/4	?	r
15136	32	FF	/3	?	m
14872	16	F7	/4	?	m
14555	16	0F AF	-	?	r
14470	16	0F A0	-	?	r
14460	16	B3	-	?	r
14303	16	0F 02	-	?	r
13319	32	0F 9D	/0	?	r
13101	32	0F 20	-	?	r
13086	16	A9	-	?	r
11795	32	98	-	?	r
11790	32	0F 92	/0	?	r
11785	32	83	/6	?	r
11331	16	83	/5	?	m
11136	32	0F 8E	-	?	r
10695	32	F6	/4	?	r
10215	32	0F BE	-	?	m
10053	16	80	/0	?	r
9604	32	F7	/5	?	m
9555	16	23	-	?	m
9532	16	C0	/5	?	r
9264	32	2A	-	?	m
8988	32	31	-	?	m
8835	32	32	-	?	m
8552	16	09	-	?	m
8409	32	0F 93	/0	?	r
8335	16	EF	-	?	r
8094	16	D3	/1	?	r
8085	16	45	-	?	r
8056	32	C0	/1	?	r
8000	32	0F 02	-	?	r
7842	32	D1	/3	?	r
7811	32	0F BC	-	?	m
7789	32	86	-	?	m
7581	16	09	-	?	r
7521	16	0F 02	-	?	m
7442	32	93	-	?	r
7044	16	1A	-	?	r
7027	16	F6	/3	?	r
6934	16	0A	-	?	m
6912	32	B1	-	?	r
6795	16	B7	-	?	r
6772	16	80	/0	?	m
6565	32	0F 9C	/0	?	r
6554	16	FD	-	?	r
6437	32	D3	/7	?	r
6358	16	19	-	?	r
6296	16	80	/2	?	m
6251	32	0F 03	-	?	r
6181	16	70	-	?	r
5990	32	B2	-	?	r
5813	32	0F C1	-	?	m
5564	16	1B	-	?	r
5367	16	0F 95	/0	?	r
5122	16	D3	/7	?	r
5087	16	17	-	?	r
4708	16	C1	/7	?	r
4317	16	0F B6	-	?	m
4301	32	0F AB	-	?	r
4233	32	97	-	?	r
4226	32	CD	-	?	r
4178	16	AF	-	?	r
4041	32	B5	-	?	r
4026	16	0F 8C	-	?	r
4010	16	0F 03	-	?	r
3934	32	34	-	?	r
