bytes                 , mode, len,   count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                   , res             , end_expr         , end, end_ok, text
8345f47c              ,   32,   4,  225749,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=-12@16:8};imm8=0x7c@24:8                 ", alu=3           , @modrm8 + 8      ,  32,      1, "add dword [ebp-0xC], 0x7C             "
52                    ,   32,   1,  225300,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=2                                                                                , stack=1         , 8                ,   8,      1, push edx
8b5508                ,   32,   3,  224034,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=2,rm=5,b=5,disp=8@16:8};w=1                              ", move=2          , @modrm8          ,  24,      1, "mov edx, [ebp+8]                      "
8b550c                ,   32,   3,  224034,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=2,rm=5,b=5,disp=12@16:8};w=1                             ", move=2          , @modrm8          ,  24,      1, "mov edx, [ebp+0xC]                    "
c1e81f                ,   32,   3,  220821,  0,   0,   4,   4,    ,      , shr_mi     , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "shr eax, 0x1F                         "
c1e80f                ,   32,   3,  220821,  0,   0,   4,   4,    ,      , shr_mi     , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "shr eax, 0xF                          "
894df4                ,   32,   3,  210711,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base_d8,mod=1,reg=1,rm=5,b=5,disp=-12@16:8};w=1                            ", move=3          , @modrm8          ,  24,      1, "mov [ebp-0xC], ecx                    "
894df8                ,   32,   3,  210711,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base_d8,mod=1,reg=1,rm=5,b=5,disp=-8@16:8};w=1                             ", move=3          , @modrm8          ,  24,      1, "mov [ebp-8], ecx                      "
7305                  ,   32,   2,  210152,  0,   0,   4,   4,    ,      , jshort     , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , jae short 7
7302                  ,   32,   2,  210152,  0,   0,   4,   4,    ,      , jshort     , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , jae short 4
8b07                  ,   32,   2,  205230,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base,mod=0,reg=0,rm=7,b=7};w=1                                             ", move=2          , @modrm8          ,  16,      1, "mov eax, [edi]                        "
43                    ,   32,   1,  201968,  0,   0,   4,   4,    ,      , inc_r      , inc_r                 , opreg=3                                                                                , alu=1           , 8                ,   8,      1, inc ebx
a801                  ,   16,   2,  201922,  0,   0,   2,   2,    ,      , test_ai    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "test al, 1                            "
33c9                  ,   32,   2,  201892,  0,   0,   4,   4,    ,      , xor_rm     , xor_rm                , "modrm8{kind=reg_direct,mod=3,reg=1,rm=1};w=1                                           ", alu=5           , @modrm8          ,  16,      1, "xor ecx, ecx                          "
84c0                  ,   32,   2,  198898,  0,   0,   4,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=0};w=0                                           ", alu=7           , @modrm8          ,  16,      1, "test al, al                           "
81e100f8ffff          ,   32,   6,  197000,  0,   0,   4,   4,    ,      , and_miz    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "and ecx, 0xFFFFF800                   "
81e100f0ffff          ,   32,   6,  197000,  0,   0,   4,   4,    ,      , and_miz    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "and ecx, 0xFFFFF000                   "
8b01                  ,   32,   2,  196910,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base,mod=0,reg=0,rm=1,b=1};w=1                                             ", move=2          , @modrm8          ,  16,      1, "mov eax, [ecx]                        "
894a0c                ,   32,   3,  194724,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base_d8,mod=1,reg=1,rm=2,b=2,disp=12@16:8};w=1                             ", move=3          , @modrm8          ,  24,      1, "mov [edx+0xC], ecx                    "
