count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
432	16:668b84	1	16	668b849a04	5	4	2	-	-	1	8b	-	base16_d16	2	0	4	-	-	-	1178	16	24	-	0	1	mov eax, [si+0x49A]	pfx@0:8=66 op@8:8=8b mod@22:2=2 reg@19:3=0 rm@16:3=4 disp@24:16=1178
432	16:668b84	1	16	668b84ac00	5	4	2	-	-	1	8b	-	base16_d16	2	0	4	-	-	-	172	16	24	-	0	1	mov eax, [si+0xAC]	pfx@0:8=66 op@8:8=8b mod@22:2=2 reg@19:3=0 rm@16:3=4 disp@24:16=172
432	16:36890e	1	16	36890e0706	5	2	2	ss	-	1	89	-	abs16	0	1	6	-	-	-	1543	16	24	-	0	1	mov [ss:0x607], cx	pfx@0:8=36 op@8:8=89 mod@22:2=0 reg@19:3=1 rm@16:3=6 disp@24:16=1543
432	32:3b0a	2	32	3b0a	2	4	4	-	-	0	3b	-	base	0	1	2	2	-	-	-	0	8	-	0	1	cmp ecx, [edx]	op@0:8=3b mod@14:2=0 reg@11:3=1 rm@8:3=2
431	32:0fba2d	1	32	0fba2decf506c000	8	4	4	-	-	0	0fba	5	abs32	0	5	5	-	-	-	-1073285652	32	40	0x0	8	1	bts dword [0xC006F5EC], 0	op@0:16=0fba mod@22:2=0 reg@19:3=5 rm@16:3=5 disp@24:32=-1073285652 imm@56:8=0x0
431	32:0fba2d	1	32	0fba2dbc8438c000	8	4	4	-	-	0	0fba	5	abs32	0	5	5	-	-	-	-1070037828	32	40	0x0	8	1	bts dword [0xC03884BC], 0	op@0:16=0fba mod@22:2=0 reg@19:3=5 rm@16:3=5 disp@24:32=-1070037828 imm@56:8=0x0
431	32:0fab05	1	32	0fab050a3805c0	7	4	4	-	-	0	0fab	-	abs32	0	0	5	-	-	-	-1073399798	32	40	-	0	1	bts [0xC005380A], eax	op@0:16=0fab mod@22:2=0 reg@19:3=0 rm@16:3=5 disp@24:32=-1073399798
431	32:0fab05	1	32	0fab05223805c0	7	4	4	-	-	0	0fab	-	abs32	0	0	5	-	-	-	-1073399774	32	40	-	0	1	bts [0xC0053822], eax	op@0:16=0fab mod@22:2=0 reg@19:3=0 rm@16:3=5 disp@24:32=-1073399774
431	16:89be	1	16	89be36ff	4	2	2	-	-	0	89	-	base16_d16	2	7	6	-	-	-	-202	16	24	-	0	1	mov [bp-0xCA], di	op@0:8=89 mod@14:2=2 reg@11:3=7 rm@8:3=6 disp@16:16=-202
431	16:89be	1	16	89befefe	4	2	2	-	-	0	89	-	base16_d16	2	7	6	-	-	-	-258	16	24	-	0	1	mov [bp-0x102], di	op@0:8=89 mod@14:2=2 reg@11:3=7 rm@8:3=6 disp@16:16=-258
430	32:8443	1	32	844332	3	4	4	-	-	0	84	-	base_d8	1	0	3	3	-	-	50	8	16	-	0	1	test [ebx+0x32], al	op@0:8=84 mod@14:2=1 reg@11:3=0 rm@8:3=3 disp@16:8=50
430	16:26fe4f	1	16	26fe4f05	4	2	2	es	-	1	fe	1	base16_d8	1	1	7	-	-	-	5	8	16	-	0	1	dec byte [es:bx+5]	pfx@0:8=26 op@8:8=fe mod@22:2=1 reg@19:3=1 rm@16:3=7 disp@24:8=5
430	16:26fe4f	1	16	26fe4f13	4	2	2	es	-	1	fe	1	base16_d8	1	1	7	-	-	-	19	8	16	-	0	1	dec byte [es:bx+0x13]	pfx@0:8=26 op@8:8=fe mod@22:2=1 reg@19:3=1 rm@16:3=7 disp@24:8=19
430	16:3bfa	1	16	3bfa	2	2	2	-	-	0	3b	-	reg_direct	3	7	2	-	-	-	-	0	8	-	0	1	cmp di, dx	op@0:8=3b mod@14:2=3 reg@11:3=7 rm@8:3=2
430	32:0f95c3	1	32	0f95c3	3	4	4	-	-	0	0f95	0	reg_direct	3	0	3	-	-	-	-	0	8	-	0	1	setne bl	op@0:16=0f95 mod@22:2=3 reg@19:3=0 rm@16:3=3
428	32:0f924424	1	32	0f92442408	5	4	4	-	-	0	0f92	0	sib_d8	1	0	4	4	-	0	8	8	24	-	0	1	setb [esp+8]	op@0:16=0f92 mod@22:2=1 reg@19:3=0 rm@16:3=4 base@24:3=4 index@27:3=4 scale@30:2=0 disp@32:8=8
