bytes                   , mode, len,    count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                      , res             , end_expr         , end, end_ok, text
0fa4c108                ,   16,   4,   711914,  0,   0,   2,   2,    ,      , shld_i     , shld_i                , "modrm16{kind=reg_direct,mod=3,reg=0,rm=1};imm8=0x8@24:8                                   ", shift=5         , @modrm16 + 8     ,  32,      1, "shld cx, ax, 8                          "
83c408                  ,   32,   3,   711395,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=4};imm8=0x8@16:8                                    ", alu=3           , @modrm8 + 8      ,  24,      1, "add esp, 8                              "
83c40c                  ,   32,   3,   711395,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=4};imm8=0xc@16:8                                    ", alu=3           , @modrm8 + 8      ,  24,      1, "add esp, 0xC                            "
26a4                    ,   16,   2,   700076,  8,   1,   2,   2, es ,      , movs       , movs                  , w=0                                                                                       , string=1        , 8                ,   8,      1, es movsb
9a14057000              ,   16,   5,   685983,  0,   0,   2,   2,    ,      , callf_ptr  , callf_ptr             , ptr=0x700514@8:32                                                                         , call=3          , 8 + p.osz*8 + 16 ,  40,      1, call 0x0070:0x0514
9a3c051c02              ,   16,   5,   685983,  0,   0,   2,   2,    ,      , callf_ptr  , callf_ptr             , ptr=0x21c053c@8:32                                                                        , call=3          , 8 + p.osz*8 + 16 ,  40,      1, call 0x021C:0x053C
ebf2                    ,   16,   2,   685360,  0,   0,   2,   2,    ,      , jmp_rel8   , jmp_rel8              , rel8=0xf2@8:8                                                                             , branch=3        , 8 + 8            ,  16,      1, jmp short 0xFFF4
eb09                    ,   16,   2,   685360,  0,   0,   2,   2,    ,      , jmp_rel8   , jmp_rel8              , rel8=0x9@8:8                                                                              , branch=3        , 8 + 8            ,  16,      1, jmp short 0x000B
48                      ,   32,   1,   682836,  0,   0,   4,   4,    ,      , dec_r      , dec_r                 , opreg=0                                                                                   , alu=2           , 8                ,   8,      1, dec eax
a1fa07                  ,   16,   3,   669381,  0,   0,   2,   2,    ,      , mov_a_moffs, mov_a_moffs           , moffs=0x7fa@8:16;w=1                                                                      , move=6          , 8 + p.asz*8      ,  24,      1, "mov ax, [0x7FA]                         "
a11304                  ,   16,   3,   669381,  0,   0,   2,   2,    ,      , mov_a_moffs, mov_a_moffs           , moffs=0x413@8:16;w=1                                                                      , move=6          , 8 + p.asz*8      ,  24,      1, "mov ax, [0x413]                         "
5a                      ,   32,   1,   647024,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=2                                                                                   , stack=2         , 8                ,   8,      1, pop edx
8bf7                    ,   16,   2,   635246,  0,   0,   2,   2,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=6,rm=7}                                                  ", move=1          , @modrm8          ,  16,      1, "mov si, di                              "
8bf2                    ,   16,   2,   634996,  0,   0,   2,   2,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=6,rm=2}                                                  ", move=1          , @modrm8          ,  16,      1, "mov si, dx                              "
0bc0                    ,   32,   2,   634560,  0,   0,   4,   4,    ,      , or_rm      , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "or eax, eax                             "
6a11                    ,   32,   2,   634450,  0,   0,   4,   4,    ,      , push_ib    , push_ib               , imm8=0x11@8:8                                                                             , stack=5         , 8 + 8            ,  16,      1, push 0x11
6a50                    ,   32,   2,   634450,  0,   0,   4,   4,    ,      , push_ib    , push_ib               , imm8=0x50@8:8                                                                             , stack=5         , 8 + 8            ,  16,      1, push 0x50
8bd6                    ,   16,   2,   631874,  0,   0,   2,   2,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=2,rm=6}                                                  ", move=1          , @modrm8          ,  16,      1, "mov dx, si                              "
